Sno,Branch,Value (in Cr),Zone,State,lat,lon,country
480,Phulbani,7.3651932,Bolangir,Odisha,20.47987,84.23233,ind
481,Tikkaballi,2.599838776,Bolangir,Odisha,20.17308093,84.27824223,ind
482,Bikramganj,5.537446276,Patna,Bihar,25.19802592,84.28137877,ind
483,Chandragiri,3.107006767,Jeypore,Odisha,19.30131,84.28208,ind
484,Bamara,9.327550893,Sambalpur,Odisha,22.04896,84.29289,ind
485,Hathwa,11.54662382,Motihari,Bihar,26.360563,84.297145,ind
486,Boudh,9.124411266,Bolangir,Odisha,20.847262,84.305072,ind
487,Redhakhol,9.709222252,Sambalpur,Odisha,21.0741608,84.3410586,ind
488,Paduma,10.36865569,Tilaiya,Jharkhand,24.14564473,84.34669895,ind
489,Kuchinda,6.897191711,Sambalpur,Odisha,21.747412,84.358655,ind
490,Aurangabad,10.03418846,Patna,Bihar,24.7420179,84.35920112,ind
491,Daudnagar,5.251259914,Patna,Bihar,25.029604,84.419469,ind
492,Jagdishpur,3.09794436,Patna,Bihar,25.468313,84.4225186,ind
493,Purunakatak,10.07187862,Bolangir,Odisha,20.633002,84.423647,ind
494,Sorada,4.576337103,Ganjam,Odisha,19.757242,84.43025,ind
495,Sorada 2,6.801181294,Ganjam,Odisha,19.7573786,84.4340015,ind
496,Narkatiaganj,10.78139964,Motihari,Bihar,27.105644,84.464135,ind
497,Panki,12.02689322,Tilaiya,Jharkhand,24.03783457,84.47727588,ind
498,Athamalik,8.027508702,Khurda,Odisha,20.70694,84.51648,ind
499,Betiah,5.33309493,Motihari,Bihar,26.8028048,84.5169757,ind
500,Kishorenagar,12.12743708,Khurda,Odisha,20.98470847,84.53757404,ind
501,Gumla,8.188680108,Ranchi,Jharkhand,23.0441295,84.5379455,ind
502,Naktideula,6.124084405,Sambalpur,Odisha,21.252357,84.550093,ind
503,Digapahandi,5.106842435,Ganjam,Odisha,19.3781538,84.567202,ind
504,Madanpur,4.690533276,Patna,Bihar,24.6553003,84.5772433,ind
505,Bhanjanagar,3.164447177,Ganjam,Odisha,19.934477,84.584738,ind
506,Jagannath Vihar,6.642776704,Ganjam,Odisha,19.933057,84.587867,ind
507,Raniganj,11.12350645,Patna,Bihar,24.439039,84.590826,ind
508,Chikiti,6.882867125,Ganjam,Odisha,19.200969,84.598974,ind
509,Sheragada,8.816861037,Ganjam,Odisha,19.51381,84.60264,ind
510,Indanpur,9.049664035,Ganjam,Odisha,19.7579344,84.61866468,ind
511,Basantpur,11.05382697,Motihari,Bihar,26.17316126,84.66501984,ind
512,Arrah,4.331612309,Patna,Bihar,25.55831492,84.66687498,ind
513,Aska,6.302497376,Ganjam,Odisha,19.611062,84.668424,ind
514,Areraj,3.918488508,Motihari,Bihar,26.545897,84.673019,ind
515,Mohammadpur,6.991433765,Motihari,Bihar,26.35154515,84.69974593,ind
516,Deogarh,8.207462514,Sambalpur,Odisha,21.532156,84.718674,ind
517,Chandwa,6.813476468,Tilaiya,Jharkhand,23.677974,84.738836,ind
518,Hinjilicut,9.316632594,Ganjam,Odisha,19.487034,84.741676,ind
519,Boinda,3.900757494,Khurda,Odisha,20.920817,84.753611,ind
520,Jagannath Prasad,10.08416354,Ganjam,Odisha,19.973079,84.779092,ind
521,Sherghati,8.483154985,Patna,Bihar,24.5568829,84.78777236,ind
522,Buguda,7.150242928,Ganjam,Odisha,19.819177,84.791777,ind
523,Guraru,6.609159251,Patna,Bihar,24.811043,84.792008,ind
524,Panposh,7.520938569,Sambalpur,Odisha,22.224143,84.811373,ind
525,Kotwa,9.202286678,Motihari,Bihar,26.51649865,84.84142347,ind
526,Daspalla,11.47509142,Ganjam,Odisha,20.324685,84.852832,ind
527,Raxaul,5.863699881,Motihari,Bihar,26.98382,84.85494,ind
528,Garkha,11.15303696,Motihari,Bihar,25.831773,84.861541,ind
529,Kesariya,6.644829585,Motihari,Bihar,26.35297595,84.871069,ind
530,Chatra,11.72510163,Tilaiya,Jharkhand,24.20666,84.872274,ind
531,Chhendipada,3.188945276,Khurda,Odisha,21.085133,84.8750338,ind
532,Motihari,2.644208217,Motihari,Bihar,26.65998252,84.92103804,ind
533,Simariya,4.572998701,Tilaiya,Jharkhand,24.051282,84.932624,ind
534,Lahunipara,7.884308058,Sambalpur,Odisha,21.8836283,84.9375287,ind
535,Kodala,11.84279741,Ganjam,Odisha,19.62784,84.940133,ind
536,Motihari-2,6.212526487,Motihari,Bihar,26.636128,84.952104,ind
537,Naubatpur,4.721270925,Patna,Bihar,25.478948,84.957807,ind
538,Bonai,9.298543666,Sambalpur,Odisha,21.81899,84.958623,ind
539,Odagaon,4.357765994,Ganjam,Odisha,20.022614,84.973384,ind
540,Chhatrapur,5.63067174,Ganjam,Odisha,19.358027,84.986489,ind
541,Jehanabad,8.648159553,Patna,Bihar,25.20475784,84.98678716,ind
542,Deoriya,5.005405122,Motihari,Bihar,26.175638,85.010529,ind
543,Barkot,8.047322035,Sambalpur,Odisha,21.541244,85.010637,ind
544,Rengali,3.547084254,Sambalpur,Odisha,21.2713405,85.0173224,ind
545,Manpur,5.442039764,Patna,Bihar,24.80627,85.027259,ind
546,Gania,12.14488391,Ganjam,Odisha,20.3977,85.04127,ind
547,Chakia,6.786837464,Motihari,Bihar,26.41443106,85.04288771,ind
548,Bantala,10.85745113,Khurda,Odisha,20.74827683,85.06675409,ind
549,Narsinghpur,6.270480573,Khurda,Odisha,20.461481,85.074252,ind
550,Kaniha,3.350181548,Khurda,Odisha,21.078537,85.076496,ind
551,Khalikote,7.807306641,Ganjam,Odisha,19.61405097,85.0895251,ind
552,Angul,3.6414265,Khurda,Odisha,20.857203,85.089857,ind
